Tipo Responsable Academica;Responsable Académica;Tipo Propuesta Formativa;Propuesta Formativa;Año;Alumnos (NI+RI);Nuevos Inscriptos;Egresados
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2013;202,00;47,00;13,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2014;214,00;60,00;5,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2015;205,00;50,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2016;275,00;114,00;8,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2017;231,00;65,00;13,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2018;227,00;82,00;2,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2019;220,00;82,00;1,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2020;205,00;51,00;2,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2021;305,00;22,00;5,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2022;148,00;22,00;10,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2023;130,00;38,00;5,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2024;116,00;26,00;3,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Arquitectura Naval;2025;115,00;44,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;1991;31,00;31,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;1992;19,00;19,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;1993;11,00;10,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;1994;20,00;20,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;1995;37,00;37,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;1996;31,00;31,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;1997;128,00;128,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;1998;89,00;10,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;1999;98,00;22,00;3,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2000;105,00;13,00;11,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2001;116,00;26,00;11,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2002;131,00;34,00;14,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2003;164,00;48,00;21,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2004;186,00;53,00;16,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2005;197,00;39,00;18,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2006;227,00;60,00;13,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2007;261,00;65,00;29,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2008;307,00;80,00;26,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2009;372,00;103,00;35,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2010;397,00;87,00;22,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2011;416,00;71,00;15,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2012;451,00;101,00;21,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2013;485,00;127,00;25,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2014;485,00;91,00;10,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2015;446,00;77,00;11,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2016;532,00;172,00;18,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2017;504,00;105,00;25,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2018;474,00;104,00;28,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2019;476,00;119,00;24,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2020;498,00;98,00;35,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2021;782,00;65,00;33,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2022;433,00;70,00;33,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2023;432,00;108,00;20,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2024;481,00;131,00;50,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Alimentos;2025;387,00;97,00;3,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;1991;52,00;52,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;1992;1,00;1,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;1994;2,00;2,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;1997;161,00;161,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;1998;81,00;34,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;1999;72,00;5,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2000;74,00;15,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2001;92,00;22,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2002;119,00;29,00;2,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2003;142,00;48,00;8,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2004;162,00;35,00;8,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2005;159,00;23,00;6,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2006;190,00;57,00;7,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2007;219,00;47,00;2,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2008;283,00;82,00;14,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2009;341,00;78,00;13,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2010;415,00;103,00;20,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2011;428,00;69,00;15,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2012;412,00;78,00;19,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2013;426,00;84,00;18,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2014;404,00;74,00;8,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2015;377,00;57,00;9,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2016;434,00;122,00;11,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2017;436,00;104,00;15,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2018;438,00;102,00;30,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2019;400,00;100,00;10,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2020;371,00;80,00;12,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2021;664,00;57,00;13,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2022;312,00;40,00;12,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2023;282,00;62,00;13,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2024;322,00;92,00;14,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Ingeniería en Automatización y Control Industrial;2025;279,00;74,00;1,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Bioinformática;2015;5,00;5,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Bioinformática;2016;19,00;18,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Bioinformática;2017;22,00;17,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Bioinformática;2018;29,00;19,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Bioinformática;2019;38,00;25,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Bioinformática;2020;46,00;27,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Bioinformática;2021;66,00;13,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Bioinformática;2022;56,00;27,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Bioinformática;2023;56,00;35,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Bioinformática;2024;70,00;32,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Bioinformática;2025;111,00;59,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;1991;141,00;141,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;1992;76,00;76,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;1993;50,00;49,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;1994;53,00;53,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;1995;55,00;55,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;1996;42,00;42,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;1997;228,00;228,00;5,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;1998;161,00;8,00;11,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;1999;160,00;22,00;21,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2000;158,00;28,00;28,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2001;182,00;55,00;37,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2002;179,00;42,00;36,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2003;247,00;117,00;38,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2004;287,00;94,00;40,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2005;314,00;79,00;43,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2006;377,00;136,00;69,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2007;445,00;161,00;57,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2008;529,00;152,00;56,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2009;689,00;231,00;70,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2010;818,00;196,00;72,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2011;877,00;184,00;54,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2012;863,00;171,00;66,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2013;842,00;180,00;37,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2014;836,00;181,00;40,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2015;803,00;146,00;35,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2016;841,00;220,00;35,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2017;813,00;171,00;71,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2018;766,00;154,00;73,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2019;796,00;202,00;77,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2020;756,00;158,00;33,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2021;1.173,00;93,00;102,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2022;685,00;149,00;63,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2023;760,00;240,00;65,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2024;953,00;235,00;56,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Biotecnología;2025;840,00;229,00;2,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Informática;2013;23,00;23,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Informática;2014;114,00;94,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Informática;2015;181,00;97,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Informática;2016;489,00;337,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Informática;2017;660,00;347,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Informática;2018;738,00;321,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Informática;2019;966,00;444,00;1,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Informática;2020;1.051,00;397,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Informática;2021;1.288,00;308,00;2,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Informática;2022;1.258,00;484,00;3,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Informática;2023;2.773,00;1.248,00;9,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Informática;2024;3.272,00;1.252,00;19,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Licenciatura en Informática;2025;2.253,00;304,00;5,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Técnicatura Laboratorista Universitario;1999;1,00;1,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Técnicatura Laboratorista Universitario;2013;31,00;31,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Técnicatura Laboratorista Universitario;2014;29,00;6,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Técnicatura Laboratorista Universitario;2015;20,00;;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Técnicatura Laboratorista Universitario;2016;22,00;9,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Técnicatura Laboratorista Universitario;2017;13,00;;6,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Grado;Técnicatura Laboratorista Universitario;2018;5,00;;4,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Biotecnología;2016;15,00;15,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Biotecnología;2017;92,00;85,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Biotecnología;2018;59,00;29,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Biotecnología;2019;74,00;39,00;4,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Biotecnología;2020;77,00;39,00;2,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Biotecnología;2021;321,00;234,00;5,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Biotecnología;2022;195,00;65,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Biotecnología;2023;249,00;140,00;2,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Biotecnología;2024;293,00;148,00;7,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Biotecnología;2025;410,00;220,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2004;1,00;1,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2007;41,00;41,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2008;112,00;94,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2009;149,00;102,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2010;245,00;138,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2011;328,00;149,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2012;360,00;113,00;2,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2013;419,00;166,00;4,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2014;419,00;102,00;1,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2015;441,00;89,00;11,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2016;632,00;302,00;12,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2017;732,00;284,00;15,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2018;821,00;322,00;21,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2019;969,00;466,00;21,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2020;1.101,00;447,00;22,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2021;1.525,00;395,00;18,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2022;1.623,00;797,00;25,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2023;4.119,00;2.093,00;38,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2024;4.517,00;1.788,00;36,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Programación Informática;2025;2.941,00;418,00;7,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Química;2015;31,00;31,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Química;2016;119,00;98,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Química;2017;165,00;96,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Química;2018;185,00;91,00;6,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Química;2019;201,00;97,00;8,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Química;2020;211,00;76,00;3,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Química;2021;302,00;101,00;9,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Química;2022;242,00;79,00;2,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Química;2023;306,00;144,00;10,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Química;2024;282,00;100,00;24,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Química;2025;290,00;110,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Tecnología Ambiental y Petroquímica;2015;17,00;17,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Tecnología Ambiental y Petroquímica;2016;84,00;71,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Tecnología Ambiental y Petroquímica;2017;96,00;51,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Tecnología Ambiental y Petroquímica;2018;106,00;51,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Tecnología Ambiental y Petroquímica;2019;131,00;59,00;4,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Tecnología Ambiental y Petroquímica;2020;122,00;48,00;5,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Tecnología Ambiental y Petroquímica;2021;138,00;16,00;8,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Tecnología Ambiental y Petroquímica;2022;97,00;35,00;
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Tecnología Ambiental y Petroquímica;2023;97,00;42,00;6,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Tecnología Ambiental y Petroquímica;2024;123,00;58,00;8,00
Departamento;Departamento de Ciencia y Tecnología (presencial);Pregrado;Tecnicatura Universitaria en Tecnología Ambiental y Petroquímica;2025;106,00;40,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;1991;6,00;6,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;1992;292,00;292,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;1993;19,00;16,00;2,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;1994;9,00;6,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;1995;62,00;21,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;1996;145,00;37,00;
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;1997;275,00;69,00;18,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;1998;416,00;225,00;41,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;1999;368,00;126,00;75,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2000;459,00;220,00;33,00
Departamento;Departamento de Ciencias Sociales (presencial);Grado;Enfermería Universitaria;2001;677,00;258,00;135,00
