Departamento,Modalidad,Nivel,Carrera,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Departamento de Ciencias Sociales,presencial,Grado,Licenciatura en Educación - presencial,81,10,8,19,14,16,70,49,45,59,74,90,94,122,131,123,146,159,170,176,256,321,328,224,180,195,195,191,223,231,349,238,190,252,198
Departamento de Ciencias Sociales,presencial,Grado,Licenciatura en Enfermería,,,,,,,,,,,,,,,,,,,,,406,450,496,553,591,918,1118,1289,1555,1538,1887,1530,1581,1656,1427
Departamento de Ciencias Sociales,presencial,Grado,Licenciatura en Historia,,,,,,,,,,,,,,,,,,,,,,,4,71,144,274,320,336,311,322,311,290,298,327,335
Departamento de Ciencias Sociales,presencial,Grado,Licenciatura en Historia (Ciclo de Complementación Curricular),,,,,,,,,,,,,,,,,,,,,,,126,104,103,88,83,102,104,95,92,84,75,87,80
Departamento de Ciencias Sociales,presencial,Grado,Licenciatura en Terapia Ocupacional - presencial,14,2,4,4,6,25,389,300,349,387,439,499,510,509,510,532,538,576,621,709,851,960,1129,1317,1442,1739,1834,1801,2084,2057,2171,1767,1629,1691,1602
Departamento de Ciencias Sociales,presencial,Grado,Profesorado de Ciencias Sociales,,,,,,,,,1,1,,,2,1,,1,2,13,38,75,95,129,128,156,157,225,255,289,324,301,340,296,240,240,198
Departamento de Ciencias Sociales,presencial,Grado,Profesorado de Comunicación Social,,,,,,,,,,1,1,2,3,4,3,2,2,74,58,85,79,68,71,74,95,119,137,180,194,182,258,202,166,157,157
Departamento de Ciencias Sociales,presencial,Grado,Profesorado de Educación,,,,,,,,,,,3,7,8,5,5,3,3,93,89,82,88,97,112,118,125,127,152,194,199,197,375,226,223,272,242
Departamento de Ciencias Sociales,presencial,Grado,Profesorado de Historia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,338,342,391,443,493,507
Departamento de Ciencias Sociales,presencial,Pregrado,Tecnicatura Universitaria en el Acompañamiento y Cuidado de la Persona Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,88,85,122
Departamento de Ciencias Sociales,virtual,Grado,Licenciatura en Ciencias Sociales y Humanidades (Ciclo de Complementación Curricular),,,,,,,,,,1,359,330,345,346,357,424,455,503,566,539,593,604,586,583,607,669,607,635,618,622,661,656,618,525,441
Departamento de Ciencias Sociales,virtual,Grado,Licenciatura en Educación (Ciclo de Complementación Curricular),,,,,,,,,,,1752,1394,1294,1096,1023,1044,1013,1077,1194,1530,1628,1564,1356,1398,1361,1531,1401,1796,1972,2217,3022,2921,2696,2290,1615
Departamento de Ciencias Sociales,virtual,Grado,Licenciatura en Geografía (Ciclo de Complementación Curricular),,,,,,,,,,,,,,,,,,,,,,,,,,,121,170,212,237,322,355,380,373,307
Departamento de Ciencias Sociales,virtual,Grado,Licenciatura en Terapia Ocupacional,,,,,,,,,,,48,65,52,44,53,66,69,76,81,91,82,60,40,35,28,54,54,58,64,44,37,23,7,4,2
Departamento de Ciencias Sociales,virtual,Grado,Tecnicatura Universitaria en Gestión de Medios Comunitarios,,,,,,,,,,,,,,,,,,,,,,,38,102,133,115,96,99,79,80,82,73,79,66,81
Departamento de Economía y Administración,presencial,Grado,Licenciatura en Administración Hotelera,71,578,5,8,14,16,66,33,101,192,293,409,570,678,708,765,792,833,1020,1162,1092,880,864,844,768,839,793,812,998,946,1888,881,808,822,726
Departamento de Economía y Administración,presencial,Grado,Licenciatura en Administración Hotelera (Ciclo de Complementación Curricular),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6
Departamento de Economía y Administración,presencial,Grado,Licenciatura en Comercio Internacional - presencial,122,115,78,55,56,59,489,406,387,373,400,399,429,484,503,576,637,827,1176,1324,1365,1432,1397,1398,1316,1550,1493,1488,1601,1553,2141,1609,1623,1801,1858
Departamento de Economía y Administración,presencial,Grado,Licenciatura en Economía del Desarrollo,,,,,,,,,,,,,,,,,,,,,,,,24,59,107,137,153,188,204,200,203,209,233,235
Departamento de Economía y Administración,presencial,Grado,Licenciatura en Gestión de Recursos Humanos y Relaciones Laborales,,,,,,,,,,,,,,,,,,,,,,,,,,540,897,1086,1380,1346,1405,1291,1288,1396,1326
Departamento de Economía y Administración,presencial,Grado,Tecnicatura Universitaria en Administración Hotelera,19,469,40,111,235,391,405,393,340,289,245,120,126,37,26,12,6,7,2,2,3,2,,1,1,2,,,,,,,,,
Departamento de Economía y Administración,presencial,Pregrado,Tecnicatura Universitaria en Economía Social y Solidaria,,,,,,,,,,,,,,,,,,,,,,246,276,635,409,351,260,189,206,208,354,157,165,185,152
Departamento de Economía y Administración,presencial,Pregrado,Tecnicatura Universitaria en Gestión Universitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,26,22,24,14,8,6,4
Departamento de Economía y Administración,presencial,Pregrado,Tecnicatura Universitaria en Gestión de Pequeñas y Medianas Empresas,,,,,,,,,,,,,,,,,,,,,,,,,,33,143,221,305,311,287,276,350,441,443
Departamento de Economía y Administración,virtual,Grado,Contador Público,,,,,,,,,,,22,166,305,366,461,597,801,1048,1235,1363,1551,1871,1848,1914,1953,2069,1916,1969,1990,1964,2158,2280,2314,2493,2125
Departamento de Economía y Administración,virtual,Grado,Licenciatura en Administración,,,,,,,,,,,1,2,2,2,3,4,4,8,10,9,8,297,404,497,496,605,547,583,537,595,752,783,779,990,826
Departamento de Economía y Administración,virtual,Grado,Licenciatura en Administración (Ciclo de Complementación Curricular),,,,,,,,,,,494,592,760,724,707,773,790,934,1012,1124,1200,1125,951,900,945,988,879,846,967,970,1082,1100,1045,905,650
Departamento de Economía y Administración,virtual,Grado,Licenciatura en Comercio Internacional,,,,,,,,,,,,1,1,1,1,3,4,2,2,1,,75,127,172,178,245,203,219,210,237,341,390,275,110,30
Departamento de Economía y Administración,virtual,Grado,Licenciatura en Comercio Internacional (Ciclo de Complementación Curricular),,,,,,,,,,,120,197,262,280,281,328,337,439,463,489,503,447,384,344,344,367,338,297,289,271,283,250,208,113,27
Departamento de Economía y Administración,virtual,Grado,Licenciatura en Gestión del Comercio Internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,384,435
Departamento de Economía y Administración,virtual,Grado,Licenciatura en Gestión del Comercio Internacional (Ciclo de Complementación Curricular),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,124,150
Departamento de Economía y Administración,virtual,Grado,Licenciatura en Hotelería y Turismo,,,,,,,,,,,201,201,209,254,307,382,471,629,769,795,810,663,452,308,186,103,45,23,10,7,8,3,5,1,1
Departamento de Economía y Administración,virtual,Grado,Licenciatura en Turismo y Hotelería,,,,,,,,,,,,,,,,,,,,,,52,130,125,165,178,147,164,181,216,261,290,299,330,318
Departamento de Economía y Administración,virtual,Grado,Licenciatura en Turismo y Hotelería (Ciclo de Complementación Curricular),,,,,,,,,,,,,,,,,,,,,,92,179,239,306,323,335,360,365,332,400,370,300,265,201
Departamento de Economía y Administración,virtual,Grado,Tecnicatura Universitaria en Ciencias Empresariales,,,,,,,,,,,91,217,351,373,552,786,901,1070,1233,1244,1367,1223,633,455,419,467,420,426,390,427,486,504,493,556,528
Escuela Universitaria de Artes,presencial,Grado,Licenciatura en Artes Digitales,,,,,,,,,,,,,,,,,,,,,,,,,,46,199,293,512,602,699,699,753,887,844
Escuela Universitaria de Artes,presencial,Grado,Licenciatura en Composición con Medios Electroacústicos,,,,,,,1,,2,269,343,411,434,461,426,468,443,441,407,426,445,394,377,380,331,382,365,347,369,313,537,280,239,263,216
Escuela Universitaria de Artes,presencial,Grado,Licenciatura en Música y Tecnología,,,,,,,,,,,,,,,,,,,,,,135,163,223,246,371,440,442,525,460,698,357,337,350,361
Escuela Universitaria de Artes,presencial,Pregrado,Tecnicatura Universitaria en Creación Musical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,97,110,130,145,172,212
Escuela Universitaria de Artes,presencial,Pregrado,Tecnicatura Universitaria en Producción Digital,,,,,,,,,,,,,,,,,,,,,,,,3,107,293,325,371,439,382,356,470,414,545,644
Escuela Universitaria de Artes,presencial,Pregrado,Tecnicatura Universitaria en Producción Musical y Nuevas Tecnologías,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,337,400,430,482,604,610
Escuela Universitaria de Artes,virtual,Grado,Licenciatura en Artes y Tecnologías (Ciclo de Complementación Curricular),,,,,,,,,,,,,,,,,,,,,,,38,70,85,121,142,161,172,154,181,186,198,169,137
